price_data_as_of,ticker,etf_name,competition_category,cluster,target_weight,selected,one_month_return,three_month_return,six_month_return,above_20d_ma,above_60d_ma,drawdown_from_60d_high,relative_rank,momentum_score,decision,opportunity,data_source
2026-08-14,A195930,TIGER 유로스탁스50(합성 H),해외주식_지수,Core Equity Beta,0,N,4.51%,12.22%,13.06%,Y,Y,0.00%,1/130,100.0,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A379790,RISE 유로스탁스50(H),해외주식_지수,Core Equity Beta,0,N,4.00%,11.01%,12.05%,Y,Y,-0.17%,2/130,99.8,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A452360,SOL 미국배당다우존스(H),해외주식_섹터,Satellite Equity,0,N,6.55%,8.13%,9.84%,Y,Y,0.00%,7/130,98.6,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A195920,TIGER 일본TOPIX(합성 H),해외주식_지수,Core Equity Beta,0,N,3.46%,7.32%,15.20%,Y,Y,0.00%,8/130,98.4,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A280930,KODEX 미국러셀2000(H),해외주식_지수,Core Equity Beta,0,N,2.59%,6.45%,15.57%,Y,Y,0.00%,10/130,97.9,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A195970,PLUS 선진국MSCI(합성 H),해외주식_지수,Core Equity Beta,0,N,3.84%,6.23%,7.29%,Y,Y,0.00%,11/130,97.7,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A448290,TIGER 미국S&P500TR(H),해외주식_지수,Core Equity Beta,0,N,2.67%,4.00%,13.54%,Y,Y,0.00%,16/130,96.5,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A449180,KODEX 미국S&P500(H),해외주식_지수,Core Equity Beta,0,N,2.83%,3.97%,13.56%,Y,Y,0.00%,17/130,96.3,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A219480,KODEX 미국S&P500선물(H),해외주식_지수,Core Equity Beta,0,N,3.00%,3.94%,13.61%,Y,Y,0.00%,18/130,96.0,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A143850,TIGER 미국S&P500선물(H),해외주식_지수,Core Equity Beta,0,N,2.76%,3.62%,12.73%,Y,Y,0.00%,20/130,95.6,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A189400,PLUS 글로벌MSCI(합성 H),해외주식_지수,Core Equity Beta,0,N,2.32%,3.57%,11.02%,Y,Y,0.00%,21/130,95.3,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A238720,ACE 일본Nikkei225(H),해외주식_지수,Core Equity Beta,0,N,0.22%,10.39%,28.55%,Y,Y,-5.25%,3/130,94.6,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A453640,KODEX 미국S&P500헬스케어,해외주식_섹터,Core Equity Beta,0,N,1.27%,8.93%,5.15%,Y,Y,-5.76%,4/130,94.4,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A174350,TIGER 로우볼,국내주식_섹터,Satellite Equity,0,N,5.18%,1.38%,8.23%,Y,Y,0.00%,34/130,92.3,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A448300,TIGER 미국나스닥100TR(H),해외주식_지수,Core Equity Beta,0,N,0.45%,1.32%,21.18%,Y,Y,-1.93%,35/130,92.1,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A304940,KODEX 미국나스닥100선물(H),해외주식_지수,Core Equity Beta,0,N,0.61%,1.10%,20.98%,Y,Y,-1.84%,36/130,91.9,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A218420,KODEX 미국S&P500에너지(합성),해외주식_섹터,Core Equity Beta,0,N,2.90%,1.89%,13.61%,Y,Y,-5.16%,31/130,88.1,Add,매수/확대 후보,Yahoo Finance chart API
2026-08-14,A402970,ACE 미국배당다우존스,해외주식_섹터,Satellite Equity,0,N,1.85%,3.08%,6.86%,Y,N,-2.87%,22/130,84.6,Add,매수/확대 후보,Yahoo Finance chart API
