ticker,etf_name,aum_krw_100m,index_name,asset_bucket,risk_label,competition_category,category_limit,cluster,same_exposure_group,selected,target_weight,selected_role,thesis,action_trigger
A411060,ACE KRX금현물,52303,KRX 금현물지수,Risk,위험,FX 및 원자재,20,Commodity Hedge,Gold,Y,6,Hedge,Geopolitical and inflation hedge,Trim in bull reflation if risk assets confirm
A144600,KODEX 은선물(H),14590,S&P GSCI Silver Index(TR),Risk,위험,FX 및 원자재,20,Commodity Hedge,Commodity Hedge: 은선물(H) S&P GSCI Silver Index(TR),N,0,,,
A132030,KODEX 골드선물(H),4821,S&P GSCI Gold Index(TR),Risk,위험,FX 및 원자재,20,Commodity Hedge,Gold,N,0,,,
A261220,KODEX WTI원유선물(H),1428,S&P GSCI Crude Oil Index ER,Risk,위험,FX 및 원자재,20,Commodity Hedge,WTI Oil,Y,4,Tactical hedge,Hormuz and oil shock hedge,Exit on confirmed ceasefire or Hormuz reopening
A261240,KODEX 미국달러선물,724,미국달러 선물지수,Risk,위험,FX 및 원자재,20,Commodity Hedge,Commodity Hedge: 미국달러선물 미국달러 선물지수,N,0,,,
A292560,TIGER 일본엔선물,542,엔선물지수,Risk,위험,FX 및 원자재,20,Commodity Hedge,Commodity Hedge: 일본엔선물 엔선물지수,N,0,,,
A271060,KODEX 3대농산물선물(H),252,S&P GSCI Grains Select Index Excess Return,Risk,위험,FX 및 원자재,20,Commodity Hedge,Commodity Hedge: 3대농산물선물(H) S&P GSCI Grains Select Index Excess Return,N,0,,,
A360750,TIGER 미국S&P500,147821,S&P 500,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,Y,13,Core US beta,Broad US quality and earnings exposure,Fund source for AI add if capex momentum strengthens
A379800,KODEX 미국S&P500,81089,S&P 500,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A133690,TIGER 미국나스닥100,79730,NASDAQ 100,Risk,위험,해외주식_지수,30,AI & Semiconductors,US Nasdaq100,Y,12,Core growth,AI platform and growth exposure,Trim if Fed hawkish shock hits duration-sensitive growth
A379810,KODEX 미국나스닥100,55319,NASDAQ 100,Risk,위험,해외주식_지수,30,Core Equity Beta,US Nasdaq100,N,0,,,
A381180,TIGER 미국필라델피아반도체나스닥,34100,PHLX Semiconductor Sector Index,Risk,위험,해외주식_지수,30,AI & Semiconductors,Semiconductors,N,0,,,
A360200,ACE 미국S&P500,33475,S&P 500,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A367380,ACE 미국나스닥100,27323,NASDAQ 100,Risk,위험,해외주식_지수,30,Core Equity Beta,US Nasdaq100,N,0,,,
A379780,RISE 미국S&P500,14147,S&P 500,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A371160,TIGER 차이나항셍테크,9134,Hang Seng TECH Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나항셍테크 Hang Seng TECH Index,N,0,,,
A449180,KODEX 미국S&P500(H),6946,S&P 500,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A251350,KODEX 선진국MSCI World,4913,MSCI World,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 선진국MSCI World MSCI World,N,0,,,
A448290,TIGER 미국S&P500TR(H),4371,S&P 500 Total Return Index,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A241180,TIGER 일본니케이225,4279,Nikkei 225,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 일본니케이225 Nikkei 225,N,0,,,
A453810,KODEX 인도Nifty50,4103,Nifty 50 Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 인도Nifty50 Nifty 50 Index,N,0,,,
A453870,TIGER 인도니프티50,3951,Nifty 50 Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 인도니프티50 Nifty 50 Index,N,0,,,
A245710,ACE 베트남VN30(합성),3155,VN30 Index(PR),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 베트남VN30(합성) VN30 Index(PR),N,0,,,
A448300,TIGER 미국나스닥100TR(H),2963,NASDAQ-100 Total Return Index,Risk,위험,해외주식_지수,30,Core Equity Beta,US Nasdaq100,N,0,,,
A283580,KODEX 차이나CSI300,2825,CSI 300,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나CSI300 CSI 300,N,0,,,
A200250,KIWOOM 인도Nifty50(합성),2215,Nifty 50 Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 인도Nifty50(합성) Nifty 50 Index,N,0,,,
A414780,TIGER 차이나과창판STAR50(합성),2068,STAR 50 Index(Price Return),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나과창판STAR50(합성) STAR 50 Index(Price Return),N,0,,,
A372330,KODEX 차이나항셍테크,1627,Hang Seng TECH Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나항셍테크 Hang Seng TECH Index,N,0,,,
A192090,TIGER 차이나CSI300,1575,CSI 300,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나CSI300 CSI 300,N,0,,,
A219480,KODEX 미국S&P500선물(H),1437,S&P 500 Futures Total Return Index,Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A245340,TIGER 미국다우존스30,1412,Dow Jones Industrial Average,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 미국다우존스30 Dow Jones Industrial Average,N,0,,,
A168580,ACE 중국본토CSI300,1301,CSI 300,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 중국본토CSI300 CSI 300,N,0,,,
A488500,TIGER 미국S&P500동일가중,1293,S&P 500 Equal Weight Index(PR),Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A304940,KODEX 미국나스닥100선물(H),1056,NASDAQ 100,Risk,위험,해외주식_지수,30,Core Equity Beta,US Nasdaq100,N,0,,,
A143850,TIGER 미국S&P500선물(H),982,S&P 500 Futures Index(ER),Risk,위험,해외주식_지수,30,Core Equity Beta,US S&P500,N,0,,,
A195980,PLUS 신흥국MSCI(합성 H),920,MSCI EM Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 신흥국MSCI(합성 H) MSCI EM Index,N,0,,,
A101280,KODEX 일본TOPIX100,624,TOPIX100,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 일본TOPIX100 TOPIX100,N,0,,,
A099140,KODEX 차이나H,437,HSCEI (Hang Seng China Enterprise Index),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나H HSCEI (Hang Seng China Enterprise Index),N,0,,,
A245360,TIGER 차이나HSCEI,400,HSCEI (Hang Seng China Enterprise Index),Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 차이나HSCEI HSCEI (Hang Seng China Enterprise Index),N,0,,,
A238720,ACE 일본Nikkei225(H),359,Nikkei 225,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 일본Nikkei225(H) Nikkei 225,N,0,,,
A195930,TIGER 유로스탁스50(합성 H),354,EURO STOXX50,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 유로스탁스50(합성 H) EURO STOXX50,N,0,,,
A256440,ACE 인도네시아MSCI(합성),345,MSCI Indonesia Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 인도네시아MSCI(합성) MSCI Indonesia Index,N,0,,,
A280930,KODEX 미국러셀2000(H),326,FTSE Russell 2000 Index,Risk,위험,해외주식_지수,30,Core Equity Beta,Core Equity Beta: 미국러셀2000(H) FTSE Russell 2000 Index,N,0,,,
